dataset,seed,split,model,family,unseen_examples,accuracy,precision,recall,f1_score,anomaly_rate,true_anomaly_rate,avg_unseen_distance,avg_unseen_confidence,experiment_context,context_dataset_name,context_dataset_config_valve_folders,context_dataset_config_target_column,context_dataset_config_drop_columns,context_dataset_config_group_column,context_dataset_config_split_train,context_dataset_config_split_validation,context_dataset_config_split_test,context_preprocessing_missing_data_enabled,context_preprocessing_missing_data_strategy,context_preprocessing_scaler,context_preprocessing_pca_enabled,context_preprocessing_pca_n_components,context_preprocessing_sequence_length,context_preprocessing_sequence_stride,context_noise_enabled,context_noise_gaussian_mean,context_noise_gaussian_std,context_project_device,context_project_random_seeds,context_training_batch_size,context_training_epochs,context_training_early_stopping_enabled,context_training_early_stopping_patience,context_training_optimizer,context_automata_anomaly_threshold,context_automata_paa_window_size,context_automata_sax_alphabet_size,context_automata_sliding_window_size,context_automata_sliding_window_stride,context_automata_unseen_pattern_enabled,context_automata_unseen_pattern_method,context_automata_probability_smoothing,context_automata_probability_epsilon,context_automata_decision_score_field,context_automata_decision_fallback_quantile,context_run_family,context_run_seed,context_run_split,context_run_scenario,context_model_name,context_model_config_architecture,context_model_config_enabled,context_model_config_input_size,context_model_config_hidden_size,context_model_config_num_layers,context_model_config_dropout,context_model_config_output_size,context_model_config_learning_rate,context_model_config_input_channels,context_model_config_num_filters,context_model_config_kernel_size,context_dataset_config_train_file,context_dataset_config_normal_label_value,context_dataset_config_anomaly_label_value
SKAB,999,fold_1,LSTM,DEEP,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""lstm"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""LSTM""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_1""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_1,unseen,LSTM,lstm,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
SKAB,999,fold_1,GRU,DEEP,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""gru"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""GRU""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_1""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_1,unseen,GRU,gru,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
SKAB,999,fold_1,CNN,DEEP,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""cnn"", ""dropout"": 0.2, ""enabled"": true, ""input_channels"": 1, ""kernel_size"": 3, ""learning_rate"": 0.001, ""num_filters"": 64, ""output_size"": 1}, ""name"": ""CNN""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_1""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_1,unseen,CNN,cnn,True,,,,0.2,1.0,0.001,1.0,64.0,3.0,,,
SKAB,999,fold_2,AUTOMATA,AUTOMATA,0,,,,,,,,,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""AUTOMATA"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_2""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,AUTOMATA,999,fold_2,unseen,,,,,,,,,,,,,,,
SKAB,999,fold_2,LSTM,DEEP,0,,,,,,,,,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""lstm"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""LSTM""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_2""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_2,unseen,LSTM,lstm,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
SKAB,999,fold_2,GRU,DEEP,0,,,,,,,,,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""gru"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""GRU""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_2""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_2,unseen,GRU,gru,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
SKAB,999,fold_2,CNN,DEEP,0,,,,,,,,,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""cnn"", ""dropout"": 0.2, ""enabled"": true, ""input_channels"": 1, ""kernel_size"": 3, ""learning_rate"": 0.001, ""num_filters"": 64, ""output_size"": 1}, ""name"": ""CNN""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_2""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_2,unseen,CNN,cnn,True,,,,0.2,1.0,0.001,1.0,64.0,3.0,,,
SKAB,999,fold_3,AUTOMATA,AUTOMATA,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""AUTOMATA"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_3""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,AUTOMATA,999,fold_3,unseen,,,,,,,,,,,,,,,
SKAB,999,fold_3,LSTM,DEEP,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""lstm"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""LSTM""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_3""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_3,unseen,LSTM,lstm,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
SKAB,999,fold_3,GRU,DEEP,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""gru"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""GRU""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_3""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_3,unseen,GRU,gru,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
SKAB,999,fold_3,CNN,DEEP,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""cnn"", ""dropout"": 0.2, ""enabled"": true, ""input_channels"": 1, ""kernel_size"": 3, ""learning_rate"": 0.001, ""num_filters"": 64, ""output_size"": 1}, ""name"": ""CNN""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_3""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_3,unseen,CNN,cnn,True,,,,0.2,1.0,0.001,1.0,64.0,3.0,,,
SKAB,999,fold_4,AUTOMATA,AUTOMATA,199,0.44221105527638194,0.4032258064516129,1.0,0.5747126436781609,0.9346733668341709,0.3768844221105528,1.0402010050251256,1.9829001373156822e-22,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""AUTOMATA"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_4""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,AUTOMATA,999,fold_4,unseen,,,,,,,,,,,,,,,
SKAB,999,fold_4,LSTM,DEEP,199,0.6231155778894473,0.0,0.0,0.0,0.0,0.3768844221105528,1.0402010050251256,1.9829001373156822e-22,"{""automata"": {""anomaly_threshold"": 0.1, ""decision"": {""fallback_quantile"": 0.05, ""score_field"": ""average_log_probability""}, ""paa"": {""window_size"": 4}, ""probability"": {""epsilon"": 0.0001, ""smoothing"": true}, ""sax"": {""alphabet_size"": 3}, ""sliding_window"": {""size"": 4, ""stride"": 1}, ""unseen_pattern"": {""enabled"": true, ""method"": ""levenshtein""}}, ""dataset"": {""config"": {""drop_columns"": [""datetime"", ""changepoint"", ""source_group"", ""source_file""], ""group_column"": ""source_file"", ""split"": {""test"": 0.2, ""train"": 0.6, ""validation"": 0.2}, ""target_column"": ""anomaly"", ""valve_folders"": [""valve1"", ""valve2""]}, ""name"": ""SKAB""}, ""model"": {""config"": {""architecture"": ""lstm"", ""dropout"": 0.2, ""enabled"": true, ""hidden_size"": 64, ""input_size"": 1, ""learning_rate"": 0.001, ""num_layers"": 2, ""output_size"": 1}, ""name"": ""LSTM""}, ""noise"": {""enabled"": true, ""gaussian_mean"": 0.0, ""gaussian_std"": 0.05}, ""preprocessing"": {""missing_data"": {""enabled"": true, ""strategy"": ""mean""}, ""pca"": {""enabled"": true, ""n_components"": 1}, ""scaler"": ""standard"", ""sequence_length"": 16, ""sequence_stride"": 1}, ""project"": {""device"": ""cuda"", ""random_seeds"": [999]}, ""run"": {""family"": ""DEEP"", ""scenario"": ""unseen"", ""seed"": 999, ""split"": ""fold_4""}, ""training"": {""batch_size"": 32, ""early_stopping"": {""enabled"": true, ""patience"": 5}, ""epochs"": 50, ""optimizer"": ""adam""}}",SKAB,"[""valve1"", ""valve2""]",anomaly,"[""datetime"", ""changepoint"", ""source_group"", ""source_file""]",source_file,0.6,0.2,0.2,True,mean,standard,True,1,16,1,True,0.0,0.05,cuda,[999],32,50,True,5,adam,0.1,4,3,4,1,True,levenshtein,True,0.0001,average_log_probability,0.05,DEEP,999,fold_4,unseen,LSTM,lstm,True,1.0,64.0,2.0,0.2,1.0,0.001,,,,,,
